Adipocyte_ID,Area_Pixels,Area_Microns_Squared,Centroid_X,Centroid_Y,Grid_ID,MPP_Used,Closest_Tumour_ID,Distance_To_Closest_Tumour,Distance_Bin
169,6574.0,1605.5919493599997,4340.941892303012,7314.458320657134,22,0.4942,,,
170,5098.0,1245.10309672,4514.375637504904,7548.344252648098,23,0.4942,,,
171,4978.0,1215.7950599199999,4813.956609079952,7835.727802330253,23,0.4942,,,
172,19869.0,4852.67819316,4149.792692133475,7517.788313453118,22,0.4942,,,
173,12855.0,3139.6234421999998,7619.400855698172,6548.138545313108,17,0.4942,,,
174,5157.0,1259.5128814799998,4653.225130890052,8013.271281752957,23,0.4942,,,
175,14130.0,3451.0213332,7571.968435951875,7023.416914366596,24,0.4942,,,
176,3677.0,898.0470942799999,4319.457710089747,7690.042425890671,22,0.4942,,,
177,15025.0,3669.610441,7504.145890183028,6579.871414309484,17,0.4942,,,
178,2983.0,728.54894812,4530.613141133087,7641.291987931612,23,0.4942,,,
179,13921.0,3399.9765024399994,7688.002945190719,7088.072480425257,24,0.4942,,,
180,11226.0,2741.7668426399996,7381.309014787102,6583.898004632104,17,0.4942,,,
181,11370.0,2776.9364868,7164.503518029903,6634.477396657871,17,0.4942,,,
182,9957.0,2431.8343534799997,7429.249874460179,6486.240735161193,17,0.4942,,,
183,11229.0,2742.49954356,7331.2710838008725,6449.12013536379,17,0.4942,,,
184,19587.0,4783.804306679999,7548.561903303212,6424.039311788431,17,0.4942,,,
185,12864.0,3141.8215449599998,6992.263914800995,6494.071439676617,17,0.4942,,,
186,15462.0,3776.3405416799997,7399.316323890829,7136.017462165309,24,0.4942,,,
187,7117.0,1738.21081588,7075.400168610369,7105.729801882816,24,0.4942,,,
188,17904.0,4372.759090559999,6953.288259606792,6625.4550379803395,17,0.4942,,,
189,12971.0,3167.9545444399996,7595.178475059749,6895.619921363041,24,0.4942,,,
190,20456.0,4996.043339839999,6732.4585940555335,8024.364685177943,24,0.4942,,,
191,7281.0,1778.2651328399998,7480.7045735475895,6928.726960582338,24,0.4942,,,
192,16023.0,3913.3556137199994,6223.497659614304,7416.455407851214,23,0.4942,,,
193,16756.0,4092.3788718399996,7470.83068751492,6721.664597756027,24,0.4942,,,
194,17399.0,4249.421102359999,6500.905626760159,7938.265302603598,23,0.4942,,,
195,15200.0,3712.3513279999997,6962.653947368421,7160.741513157895,24,0.4942,,,
196,15164.0,3703.55891696,6724.8105381165915,7777.6147454497495,24,0.4942,,,
197,10211.0,2493.8696980399995,7252.379003035941,7047.959259621976,24,0.4942,,,
198,18517.0,4522.47431188,6240.118971755684,7681.933574553113,23,0.4942,,,
199,10804.0,2638.70024656,6787.778322843391,7895.520733061829,24,0.4942,,,
200,14544.0,3552.1340601599995,6386.130225522552,7455.882356985699,23,0.4942,,,
201,14947.0,3650.56021708,7262.4143975379675,6560.4637050913225,17,0.4942,,,
202,14170.0,3460.7906787999996,6157.217784050811,7789.739378969654,23,0.4942,,,
203,9450.0,2308.007898,7019.569523809524,7040.23544973545,24,0.4942,,,
204,11162.0,2726.1358896799998,6423.902616018635,7571.71322343666,23,0.4942,,,
205,7319.0,1787.5460111599998,6495.558682880175,7643.002732613745,23,0.4942,,,
206,15979.0,3902.6093335599994,7357.469303460793,7004.337880968771,24,0.4942,,,
207,15817.0,3863.0434838799997,7299.085287981286,6818.889359549851,24,0.4942,,,
208,14299.0,3492.2968183599996,6382.301839289461,7877.887684453458,23,0.4942,,,
209,12569.0,3069.7726211599997,7354.467499403294,6701.107407112738,24,0.4942,,,
210,8454.0,2064.7511925599997,6302.4665247220255,7789.467707594038,23,0.4942,,,
211,15892.0,3881.3610068799994,6241.493833375283,7898.724955952681,23,0.4942,,,
